x(m/s^2),y(m/s^2),z(m/s^2),internal_ts,watch_timestamp
-0.002394,-0.363919,9.804255,20324770149645,2025-04-23 16:45:37.305
-0.035913,-0.421380,9.768343,20324800148424,2025-04-23 16:45:37.322
-0.047884,-0.385466,9.782708,20324830116686,2025-04-23 16:45:37.358
-0.026336,-0.380678,9.821015,20324860115465,2025-04-23 16:45:37.382
-0.026336,-0.397437,9.856929,20324890114244,2025-04-23 16:45:37.410
-0.007183,-0.371101,9.792285,20324920143541,2025-04-23 16:45:37.443
-0.031125,-0.347159,9.804255,20324950081285,2025-04-23 16:45:37.481
-0.088585,-0.359130,9.739613,20324980049547,2025-04-23 16:45:37.501
-0.098162,-0.368707,9.794679,20325010078844,2025-04-23 16:45:37.534
-0.007183,-0.462081,9.773131,20325040077623,2025-04-23 16:45:37.562
-0.052672,-0.383072,9.804255,20325070015367,2025-04-23 16:45:37.600
-0.071826,-0.452504,9.871294,20325100014147,2025-04-23 16:45:37.623
0.050278,-0.407014,9.799467,20325130012926,2025-04-23 16:45:37.657
-0.050278,-0.354342,9.789890,20325159981188,2025-04-23 16:45:37.685
-0.081403,-0.433351,9.825804,20325189918932,2025-04-23 16:45:37.722
-0.064643,-0.411803,9.734824,20325219887194,2025-04-23 16:45:37.741
-0.033519,-0.433351,9.789890,20325249824938,2025-04-23 16:45:37.777
-0.040701,-0.325611,9.799467,20325279823717,2025-04-23 16:45:37.801
0.016759,-0.402226,9.727641,20325309853014,2025-04-23 16:45:37.838
-0.059855,-0.459687,9.794679,20325339790758,2025-04-23 16:45:37.862
-0.079009,-0.399832,9.785102,20325369820055,2025-04-23 16:45:37.900
-0.050278,-0.359130,9.775525,20325399818834,2025-04-23 16:45:37.923
-0.064643,-0.344765,9.789890,20325429787096,2025-04-23 16:45:37.960
0.004788,-0.378284,9.756371,20325459785875,2025-04-23 16:45:37.980
-0.038307,-0.397437,9.797073,20325489784654,2025-04-23 16:45:38.012
-0.088585,-0.466869,9.840169,20325519752916,2025-04-23 16:45:38.042
