x(m/s^2),y(m/s^2),z(m/s^2),internal_ts,watch_timestamp
0.016759,-0.007183,-0.026336,18156508455797,2025-04-23 16:09:29.050
0.002394,-0.040701,0.009577,18156538454577,2025-04-23 16:09:29.059
0.021548,0.031125,0.000000,18156568422838,2025-04-23 16:09:29.115
-0.047884,0.047884,-0.007183,18156598452135,2025-04-23 16:09:29.124
0.055067,0.081403,-0.002394,18156628420397,2025-04-23 16:09:29.170
0.009577,-0.014365,-0.038307,18156658327623,2025-04-23 16:09:29.180
0.014365,0.052672,0.000000,18156688265368,2025-04-23 16:09:29.219
-0.043096,-0.045490,-0.045490,18156718233629,2025-04-23 16:09:29.245
-0.057461,-0.035913,-0.043096,18156748171373,2025-04-23 16:09:29.288
-0.055067,0.014365,0.021548,18156778139635,2025-04-23 16:09:29.303
-0.009577,-0.035913,-0.011971,18156808138414,2025-04-23 16:09:29.345
0.011971,-0.033519,0.019154,18156838106676,2025-04-23 16:09:29.361
0.011971,0.050278,-0.057461,18156868074938,2025-04-23 16:09:29.406
-0.016759,-0.055067,0.011971,18156898073717,2025-04-23 16:09:29.419
0.009577,-0.067038,-0.007183,18156928041979,2025-04-23 16:09:29.467
0.000000,-0.021548,-0.088585,18156958010241,2025-04-23 16:09:29.479
-0.031125,-0.026336,-0.045490,18156988009020,2025-04-23 16:09:29.529
0.052672,-0.019154,-0.035913,18157017977282,2025-04-23 16:09:29.541
0.009577,0.002394,0.002394,18157047976061,2025-04-23 16:09:29.587
-0.026336,-0.026336,-0.007183,18157077913805,2025-04-23 16:09:29.603
0.014365,0.033519,0.021548,18157167849108,2025-04-23 16:09:29.708
0.000000,0.043096,-0.069432,18157197786852,2025-04-23 16:09:29.719
0.000000,0.009577,0.045490,18157227755114,2025-04-23 16:09:29.772
-0.057461,-0.040701,-0.007183,18157257723375,2025-04-23 16:09:29.783
-0.086191,-0.016759,0.016759,18157287722155,2025-04-23 16:09:29.831
-0.081403,0.019154,0.023942,18157317720934,2025-04-23 16:09:29.841
0.000000,-0.040701,-0.014365,18157347658678,2025-04-23 16:09:29.890
